timestamp,action,model,object_id,reference_id,field,old_value,new_value,reason,metadata
2026-02-04T16:19:00.966734,AUDIT_AUTO_ASSIGN,InvoiceItem,703,INV-20260127-EBF29B91,barcode,SCANNED_MISMATCH,FOLD-20260117-0063,Auto-assigned barcode (not scanned),"Product: FOLDER VIVO Y11/Y12/Y15/Y17 TIKTOK PESTING, Barcode: FOLD-20260117-0063, CartScanned: ['FOLD-20260117-0006', 'FOLD-20260117-0031', 'FOLD-20260117-0004', 'FOLD-20260117-0038', 'FOLD-20260117-0032', 'FOLD-20260117-0036', 'FOLD-20260117-0010', 'FOLD-20260117-0001', 'FOLD-20260117-0040', 'FOLD-20260117-0002', 'FOLD-20260117-0003', 'FOLD-20260117-0008', 'FOLD-20260117-0034', 'FOLD-20260117-0037', 'FOLD-20260117-0035', 'FOLD-20260117-0033', 'FOLD-20260117-0009', 'FOLD-20260117-0039', 'FOLD-20260117-0007', 'FOLD-20260117-0005']"
2026-02-04T16:19:01.361558,AUDIT_AUTO_ASSIGN,InvoiceItem,950,INV-20260128-56A75FBF,barcode,SCANNED_MISMATCH,FRAM-20260120-0001-28,Auto-assigned barcode (not scanned),"Product: FRAME REALME C53, Barcode: FRAM-20260120-0001-28, CartScanned: []"
2026-02-04T16:19:04.340720,AUDIT_AUTO_ASSIGN,InvoiceItem,853,INV-20260128-97835853,barcode,SCANNED_MISMATCH,FOLD-20260129-0307,Auto-assigned barcode (not scanned),"Product: FOLDER OPPO A57 NEW/C35 PESTING, Barcode: FOLD-20260129-0307, CartScanned: ['FOLD-20260127-0039', 'FOLD-20260127-0031', 'FOLD-20260127-0040', 'FOLD-20260127-0049', 'FOLD-20260127-0035', 'FOLD-20260127-0036', 'FOLD-20260127-0045', 'FOLD-20260127-0038', 'FOLD-20260127-0032', 'FOLD-20260127-0043', 'FOLD-20260127-0050', 'FOLD-20260127-0041', 'FOLD-20260127-0047', 'FOLD-20260127-0034', 'FOLD-20260127-0046', 'FOLD-20260127-0037', 'FOLD-20260127-0033', 'FOLD-20260127-0042', 'FOLD-20260127-0048', 'FOLD-20260127-0044']"
2026-02-04T16:19:05.393149,AUDIT_AUTO_ASSIGN,InvoiceItem,2642,INV-20260202-7B934763,barcode,SCANNED_MISMATCH,FOLD-20260117-0003-2,Auto-assigned barcode (not scanned),"Product: FOLDER REALME 5/C3 PESTING, Barcode: FOLD-20260117-0003-2, CartScanned: ['FOLD-20260129-0233', 'FOLD-20260129-0240', 'FOLD-20260129-0235', 'FOLD-20260129-0238', 'FOLD-20260129-0237', 'FOLD-20260129-0239', 'FOLD-20260129-0231', 'FOLD-20260129-0232', 'FOLD-20260129-0234', 'FOLD-20260129-0236']"
2026-02-04T16:19:05.396692,AUDIT_AUTO_ASSIGN,InvoiceItem,2643,INV-20260202-7B934763,barcode,SCANNED_MISMATCH,VIVO-20260122-0005,Auto-assigned barcode (not scanned),"Product: FOLDER VIVO V15 PESTING, Barcode: VIVO-20260122-0005, CartScanned: ['VIVO-20260122-0010']"
2026-02-04T16:19:05.400268,AUDIT_AUTO_ASSIGN,InvoiceItem,2644,INV-20260202-7B934763,barcode,SCANNED_MISMATCH,FOLD-20260127-0081-1,Auto-assigned barcode (not scanned),"Product: FOLDER OPPO A57 NEW/C35 PESTING, Barcode: FOLD-20260127-0081-1, CartScanned: ['FOLD-20260127-0105', 'FOLD-20260127-0104', 'FOLD-20260127-0103']"
2026-02-04T16:19:05.403767,AUDIT_AUTO_ASSIGN,InvoiceItem,2645,INV-20260202-7B934763,barcode,SCANNED_MISMATCH,FOLD-20260113-0001-3,Auto-assigned barcode (not scanned),"Product: FOLDER REALME 6/RM7/RM8 5G PESTING, Barcode: FOLD-20260113-0001-3, CartScanned: ['FOLD-20260113-0005-3', 'FOLD-20260113-0004-3']"
2026-02-04T16:19:05.635055,AUDIT_AUTO_ASSIGN,InvoiceItem,2646,INV-20260202-89B4BF76,barcode,SCANNED_MISMATCH,FOLD-20260127-0042-6,Auto-assigned barcode (not scanned),"Product: FOLDER REALME 5/C3 PESTING, Barcode: FOLD-20260127-0042-6, CartScanned: ['FOLD-20260129-0233', 'FOLD-20260129-0240', 'FOLD-20260129-0235', 'FOLD-20260129-0238', 'FOLD-20260129-0237', 'FOLD-20260129-0239', 'FOLD-20260129-0231', 'FOLD-20260129-0232', 'FOLD-20260129-0234', 'FOLD-20260129-0236']"
2026-02-04T16:19:05.638729,AUDIT_AUTO_ASSIGN,InvoiceItem,2647,INV-20260202-89B4BF76,barcode,SCANNED_MISMATCH,VIVO-20260122-0006,Auto-assigned barcode (not scanned),"Product: FOLDER VIVO V15 PESTING, Barcode: VIVO-20260122-0006, CartScanned: ['VIVO-20260122-0010']"
2026-02-04T16:19:05.642795,AUDIT_AUTO_ASSIGN,InvoiceItem,2648,INV-20260202-89B4BF76,barcode,SCANNED_MISMATCH,FOLD-20260127-0082-1,Auto-assigned barcode (not scanned),"Product: FOLDER OPPO A57 NEW/C35 PESTING, Barcode: FOLD-20260127-0082-1, CartScanned: ['FOLD-20260127-0105', 'FOLD-20260127-0104', 'FOLD-20260127-0103']"
